"","Feature.ID","rfTestPred","X1","X2"
"3272","Asf1b","2",0,1
"3937","Birc5","2",0,1
"4671","Ccnb2","2",0,1
"4682","Ccnf","2",0,1
"4833","Cdc20","2",0,1
"4864","Cdca3","2",0,1
"4869","Cdca8","2",0,1
"4902","Cdk1","2",0,1
"5037","Cep55","2",0,1
"5240","Cit","2",0,1
"5255","Cks1b","2",0,1
"24535","Kif11","2",0,1
"25063","Lig1","2",0,1
"26613","Mis18bp1","2",0,1
"27936","Ncapd2","2",0,1
"27939","Ncapg2","2",0,1
"27940","Ncaph","2",0,1
"30810","Plk1","2",0,1
"31780","Racgap1","2",0,1
"32990","Rrm1","2",0,1
"34648","Spc24","2",0,1
"37002","Ube2c","2",0,1
"37145","Uhrf1","2",0,1
"3499","Aurkb","2",0.001,0.999
"5246","Ckap2","2",0.001,0.999
"8697","Glrx","2",0.001,0.999
"25133","Lmnb1","2",0.001,0.999
"25689","Mcm4","2",0.001,0.999
"25691","Mcm6","2",0.001,0.999
"28563","Nusap1","2",0.001,0.999
"32991","Rrm2","2",0.001,0.999
"36282","Tpx2","2",0.001,0.999
"38389","Zdhhc2","2",0.001,0.999
"718","2700094K13Rik","2",0.002,0.998
"2238","Acot7","2",0.002,0.998
"3497","Aurka","2",0.002,0.998
"4669","Ccnb1","2",0.002,0.998
"4863","Cdca2","2",0.002,0.998
"5007","Cenph","2",0.002,0.998
"5734","Crmp1","2",0.002,0.998
"8529","Gcnt1","2",0.002,0.998
"22913","H1f0","2",0.002,0.998
"22967","H2afx","2",0.002,0.998
"24733","Kpna2","2",0.002,0.998
"25687","Mcm3","2",0.002,0.998
"25792","Melk","2",0.002,0.998
"27543","Mxd3","2",0.002,0.998
"34730","Spock2","2",0.002,0.998
"3688","Batf","2",0.003,0.997
"4925","Cdk6","2",0.003,0.997
"4943","Cdkn2c","2",0.003,0.997
"5957","Cxcr3","2",0.003,0.997
"23278","Hmgb3","2",0.003,0.997
"24553","Kif22","2",0.003,0.997
"24730","Knstrn","2",0.003,0.997
"29963","Orc6","2",0.003,0.997
"30910","Pold2","2",0.003,0.997
"31827","Ranbp1","2",0.003,0.997
"32519","RP23-45G16.5","2",0.003,0.997
"2914","Anp32e","2",0.004,0.996
"2923","Anxa2","2",0.004,0.996
"3085","Arhgap11a","2",0.004,0.996
"3532","Axl","2",0.004,0.996
"4789","Cd44","2",0.004,0.996
"5236","Cisd1","2",0.004,0.996
"5247","Ckap2l","2",0.004,0.996
"6329","Dctpp1","2",0.004,0.996
"22543","Got2","2",0.004,0.996
"23094","Hells","2",0.004,0.996
"24073","Impa2","2",0.004,0.996
"24555","Kif23","2",0.004,0.996
"30964","Pomp","2",0.004,0.996
"31190","Prdx4","2",0.004,0.996
"33322","Sdf2l1","2",0.004,0.996
"34233","Smco4","2",0.004,0.996
"35740","Tjp2","2",0.004,0.996
"36249","Tpi1","2",0.004,0.996
"36831","Ttc39c","2",0.004,0.996
"36871","Tuba1c","2",0.004,0.996
"36943","Tyms","2",0.004,0.996
"38114","Whsc1","2",0.004,0.996
"38244","Ybx3","2",0.004,0.996
"4097","Bub1b","2",0.005,0.995
"5002","Cenpa","2",0.005,0.995
"5005","Cenpe","2",0.005,0.995
"5373","Clspn","2",0.005,0.995
"7010","E2f8","2",0.005,0.995
"7620","Fam110a","2",0.005,0.995
"7956","Fbxo5","2",0.005,0.995
"22826","Gstt2","2",0.005,0.995
"23294","Hmmr","2",0.005,0.995
"24540","Kif15","2",0.005,0.995
"25112","Litaf","2",0.005,0.995
"27617","Myo1f","2",0.005,0.995
"27938","Ncapg","2",0.005,0.995
"30299","Pcyox1l","2",0.005,0.995
"31790","Rad51ap1","2",0.005,0.995
"32405","Rora","2",0.005,0.995
"35005","Stmn1","2",0.005,0.995
"37909","Vmp1","2",0.005,0.995
"694","2610318N02Rik","2",0.006,0.994
"5205","Chst2","2",0.006,0.994
"5256","Cks2","2",0.006,0.994
