"","Feature.ID","rfTestPred","X1","X2"
"3272","Asf1b","2",0,1
"3497","Aurka","2",0,1
"3499","Aurkb","2",0,1
"3937","Birc5","2",0,1
"4864","Cdca3","2",0,1
"4869","Cdca8","2",0,1
"4902","Cdk1","2",0,1
"5240","Cit","2",0,1
"5255","Cks1b","2",0,1
"5256","Cks2","2",0,1
"23294","Hmmr","2",0,1
"24535","Kif11","2",0,1
"25063","Lig1","2",0,1
"27940","Ncaph","2",0,1
"36282","Tpx2","2",0,1
"37145","Uhrf1","2",0,1
"4097","Bub1b","2",0.001,0.999
"4682","Ccnf","2",0.001,0.999
"4833","Cdc20","2",0.001,0.999
"4867","Cdca7","2",0.001,0.999
"5037","Cep55","2",0.001,0.999
"5246","Ckap2","2",0.001,0.999
"6329","Dctpp1","2",0.001,0.999
"22913","H1f0","2",0.001,0.999
"22967","H2afx","2",0.001,0.999
"24553","Kif22","2",0.001,0.999
"25430","Mad2l1","2",0.001,0.999
"25687","Mcm3","2",0.001,0.999
"25691","Mcm6","2",0.001,0.999
"27936","Ncapd2","2",0.001,0.999
"27939","Ncapg2","2",0.001,0.999
"27975","Ndc80","2",0.001,0.999
"28634","Odc1","2",0.001,0.999
"30810","Plk1","2",0.001,0.999
"32991","Rrm2","2",0.001,0.999
"34233","Smco4","2",0.001,0.999
"35250","Tacc3","2",0.001,0.999
"37002","Ube2c","2",0.001,0.999
"718","2700094K13Rik","2",0.002,0.998
"3208","Arpc4","2",0.002,0.998
"4668","Ccna2","2",0.002,0.998
"4925","Cdk6","2",0.002,0.998
"4943","Cdkn2c","2",0.002,0.998
"5006","Cenpf","2",0.002,0.998
"5247","Ckap2l","2",0.002,0.998
"5734","Crmp1","2",0.002,0.998
"6268","Dbf4","2",0.002,0.998
"7590","Fabp5","2",0.002,0.998
"24540","Kif15","2",0.002,0.998
"26613","Mis18bp1","2",0.002,0.998
"28530","Nuf2","2",0.002,0.998
"30915","Pole","2",0.002,0.998
"32990","Rrm1","2",0.002,0.998
"36831","Ttc39c","2",0.002,0.998
"36882","Tubb4b","2",0.002,0.998
"38389","Zdhhc2","2",0.002,0.998
"2376","Adap1","2",0.003,0.997
"3293","Aspm","2",0.003,0.997
"3532","Axl","2",0.003,0.997
"3688","Batf","2",0.003,0.997
"4671","Ccnb2","2",0.003,0.997
"4789","Cd44","2",0.003,0.997
"5005","Cenpe","2",0.003,0.997
"5007","Cenph","2",0.003,0.997
"5609","Cox5a","2",0.003,0.997
"7010","E2f8","2",0.003,0.997
"23182","Hist1h2ae","2",0.003,0.997
"23277","Hmgb2","2",0.003,0.997
"24733","Kpna2","2",0.003,0.997
"25133","Lmnb1","2",0.003,0.997
"25604","Marcks","2",0.003,0.997
"28563","Nusap1","2",0.003,0.997
"35036","Stx11","2",0.003,0.997
"38114","Whsc1","2",0.003,0.997
"2238","Acot7","2",0.004,0.996
"4669","Ccnb1","2",0.004,0.996
"5373","Clspn","2",0.004,0.996
"5634","Cpd","2",0.004,0.996
"6495","Depdc1a","2",0.004,0.996
"8101","Fignl1","2",0.004,0.996
"23278","Hmgb3","2",0.004,0.996
"24555","Kif23","2",0.004,0.996
"24730","Knstrn","2",0.004,0.996
"25605","Marcksl1","2",0.004,0.996
"25690","Mcm5","2",0.004,0.996
"25792","Melk","2",0.004,0.996
"27553","Mybl2","2",0.004,0.996
"30910","Pold2","2",0.004,0.996
"31190","Prdx4","2",0.004,0.996
"31780","Racgap1","2",0.004,0.996
"33322","Sdf2l1","2",0.004,0.996
"35005","Stmn1","2",0.004,0.996
"4569","Ccdc34","2",0.005,0.995
"4837","Cdc25b","2",0.005,0.995
"5002","Cenpa","2",0.005,0.995
"5205","Chst2","2",0.005,0.995
"7547","Ezh2","2",0.005,0.995
"8426","Galk1","2",0.005,0.995
"8513","Gcat","2",0.005,0.995
"8697","Glrx","2",0.005,0.995
"23094","Hells","2",0.005,0.995
"26618","Mki67","2",0.005,0.995
"29963","Orc6","2",0.005,0.995
"31789","Rad51","2",0.005,0.995
"32519","RP23-45G16.5","2",0.005,0.995
"34029","Slc39a4","2",0.005,0.995
"34648","Spc24","2",0.005,0.995
"35934","Tmem2","2",0.005,0.995
"3085","Arhgap11a","2",0.006,0.994
"4863","Cdca2","2",0.006,0.994
"7074","Ect2","2",0.006,0.994
"7161","Ehd4","2",0.006,0.994
"7956","Fbxo5","2",0.006,0.994
"8225","Foxm1","2",0.006,0.994
"32211","Rilpl2","2",0.006,0.994
"33082","Ryk","2",0.006,0.994
"33088","S100a11","2",0.006,0.994
"35447","Tcf19","2",0.006,0.994
"36871","Tuba1c","2",0.006,0.994
"36943","Tyms","2",0.006,0.994
"38017","Wdhd1","2",0.006,0.994
"4403","Carhsp1","2",0.007,0.993
"4680","Ccne1","2",0.007,0.993
"4866","Cdca5","2",0.007,0.993
"24073","Impa2","2",0.007,0.993
"24562","Kif2c","2",0.007,0.993
"25025","Lgals1","2",0.007,0.993
"25442","Mafg_1","2",0.007,0.993
"27617","Myo1f","2",0.007,0.993
"28064","Nek2","2",0.007,0.993
"30274","Pcna","2",0.007,0.993
"30299","Pcyox1l","2",0.007,0.993
"30897","Podnl1","2",0.007,0.993
"33094","S100a4","2",0.007,0.993
"37199","Uqcrb","2",0.007,0.993
"4814","Cd82","2",0.008,0.992
"5957","Cxcr3","2",0.008,0.992
"6500","Dera","2",0.008,0.992
"22458","Gmnn","2",0.008,0.992
"23608","Ifi30","2",0.008,0.992
"24083","Incenp","2",0.008,0.992
"25689","Mcm4","2",0.008,0.992
"27543","Mxd3","2",0.008,0.992
"30880","Pnp","2",0.008,0.992
"31790","Rad51ap1","2",0.008,0.992
"34477","Snrpd2","2",0.008,0.992
"34606","Spag5","2",0.008,0.992
"35728","Timp2","2",0.008,0.992
"37343","Vdac1","2",0.008,0.992
"2230","Acot11","2",0.009,0.991
"3682","Bard1","2",0.009,0.991
"22543","Got2","2",0.009,0.991
"25028","Lgals3","2",0.009,0.991
"25514","Manf","2",0.009,0.991
"25685","Mcm10","2",0.009,0.991
"25686","Mcm2","2",0.009,0.991
"28156","Nhp2l1","2",0.009,0.991
"30906","Pola1","2",0.009,0.991
"31169","Prc1","2",0.009,0.991
"33343","Sec11c","2",0.009,0.991
"34182","Slmo2","2",0.009,0.991
"5011","Cenpl","2",0.01,0.99
"22966","H2afv","2",0.01,0.99
"23581","Ide","2",0.01,0.99
"24185","Irf4","2",0.01,0.99
"27922","Nav2","2",0.01,0.99
"31422","Psat1","2",0.01,0.99
"35735","Tipin","2",0.01,0.99
"2528","Ahi1","2",0.011,0.989
"2751","Alyref","2",0.011,0.989
"4697","Ccp110","2",0.011,0.989
"5249","Ckap5","2",0.011,0.989
"7474","Etfb","2",0.011,0.989
"23154","Higd1a","2",0.011,0.989
"24016","Il1r2","2",0.011,0.989
"24598","Klf10","2",0.011,0.989
"25630","Matk","2",0.011,0.989
"30482","Pgk1","2",0.011,0.989
"31186","Prdx1","2",0.011,0.989
"32275","Rnaseh2b","2",0.011,0.989
"33153","Sapcd2","2",0.011,0.989
"34464","Snrnp25","2",0.011,0.989
"36923","Txn1","2",0.011,0.989
"2076","Abracl","2",0.012,0.988
"2531","Ahr","2",0.012,0.988
"4317","Calm3","2",0.012,0.988
"15511","Gm21972","2",0.012,0.988
"22826","Gstt2","2",0.012,0.988
"27938","Ncapg","2",0.012,0.988
"30095","Paics","2",0.012,0.988
"34914","St6galnac4","2",0.012,0.988
"36249","Tpi1","2",0.012,0.988
"694","2610318N02Rik","2",0.013,0.987
"4413","Casc5","2",0.013,0.987
"4859","Cdc6","2",0.013,0.987
"5013","Cenpn","2",0.013,0.987
"6746","Dnmt1","2",0.013,0.987
"7158","Ehd1","2",0.013,0.987
"7173","Eif1ax","2",0.013,0.987
"24550","Kif20b","2",0.013,0.987
"30843","Plxnd1","2",0.013,0.987
"33651","Shcbp1","2",0.013,0.987
"34224","Smc2","2",0.013,0.987
"36121","Tnfaip8_1","2",0.013,0.987
"2492","Agfg1","2",0.014,0.986
"2914","Anp32e","2",0.014,0.986
"4857","Cdc45","2",0.014,0.986
"6539","Dhrs1","2",0.014,0.986
"7428","Erh","2",0.014,0.986
"8529","Gcnt1","2",0.014,0.986
"20238","Gm2a","2",0.014,0.986
"24229","Itfg3","2",0.014,0.986
"24248","Itgb1","2",0.014,0.986
"25039","Lgmn","2",0.014,0.986
"25588","Mapre2","2",0.014,0.986
"32405","Rora","2",0.014,0.986
"33096","S100a6","2",0.014,0.986
"35741","Tjp3","2",0.014,0.986
"3860","Bcl2a1b","2",0.015,0.985
"4371","Capns1","2",0.015,0.985
"6917","Dut","2",0.015,0.985
"7003","E2f1","2",0.015,0.985
"7093","Eea1","2",0.015,0.985
"8414","Gadd45b","2",0.015,0.985
"25437","Maf","2",0.015,0.985
"25623","Mast2","2",0.015,0.985
"25692","Mcm7","2",0.015,0.985
"31759","Rab8b","2",0.015,0.985
"31988","Rcc1","2",0.015,0.985
"33591","Sgol1","2",0.015,0.985
"34730","Spock2","2",0.015,0.985
"38244","Ybx3","2",0.015,0.985
"38275","Ywhae","2",0.015,0.985
"2923","Anxa2","2",0.016,0.984
"3876","Bcl7c","2",0.016,0.984
"4471","Cbx5","2",0.016,0.984
"4704","Ccr4","2",0.016,0.984
"22865","Gtse1","2",0.016,0.984
"30067","Pabpc4","2",0.016,0.984
"30964","Pomp","2",0.016,0.984
"31595","Ptprj","2",0.016,0.984
"32075","Rfc5","2",0.016,0.984
"33329","Sdhd","2",0.016,0.984
"35183","Syngr2","2",0.016,0.984
"36918","Twsg1","2",0.016,0.984
"4354","Canx","2",0.017,0.983
"7223","Eif4h","2",0.017,0.983
"7418","Ercc6l","2",0.017,0.983
"28303","Nop9","2",0.017,0.983
"28503","Nucks1","2",0.017,0.983
"31019","Ppcs","2",0.017,0.983
"31827","Ranbp1","2",0.017,0.983
"31910","Rbbp7","2",0.017,0.983
"32231","Ripk3","2",0.017,0.983
"34649","Spc25","2",0.017,0.983
"34998","Stk35","2",0.017,0.983
"35740","Tjp2","2",0.017,0.983
"4096","Bub1","2",0.018,0.982
"5046","Cep85","2",0.018,0.982
"5592","Coro2b","2",0.018,0.982
"5986","Cyfip1","2",0.018,0.982
"8017","Fen1","2",0.018,0.982
"8120","Fkbp5","2",0.018,0.982
"23256","Hmbs","2",0.018,0.982
"23410","Hprt","2",0.018,0.982
"28052","Nedd8","2",0.018,0.982
"30911","Pold3","2",0.018,0.982
"37025","Ube2n","2",0.018,0.982
"37344","Vdac2","2",0.018,0.982
"702","2700029M09Rik","2",0.019,0.981
"3396","Atp2b4","2",0.019,0.981
"4252","Cab39","2",0.019,0.981
"5416","Cnbd2","2",0.019,0.981
"7620","Fam110a","2",0.019,0.981
"8357","Fzr1","2",0.019,0.981
"22495","Gng2","2",0.019,0.981
"24539","Kif14","2",0.019,0.981
"30197","Pbk","2",0.019,0.981
"30468","Pgam1","2",0.019,0.981
"31835","Rangap1","2",0.019,0.981
"32073","Rfc3","2",0.019,0.981
"3546","Azin1","2",0.02,0.98
"5392","Cmc2","2",0.02,0.98
"7472","Etf1","2",0.02,0.98
"7981","Fbxw8","2",0.02,0.98
"24498","Kdelr2","2",0.02,0.98
"24892","Lamc1","2",0.02,0.98
